"Node","RemoteNode","IGP","NormTraffic","WCTFailures","WCTraffic"
"pr5.bllon","er14.bllon","10000.0","0.0","none","0.0"
"er12.enslo","px.fast.enslo","1.0","0.0","none","0.0"
"pr2.thlon","er14.thlon","10000.0","0.0","none","0.0"
"cx.mcdn.enlcs","ar11-cdn.enlcs","1.0","41160.0","['ar11-cdn.hobir', 'cx.mcdn.hobir']","63693.0"
"srx.enbgk","pr2.hobir","10300.0","0.0","none","0.0"
"px.linx.thlon","er12.thlon","1.0","161482.0","['er13.thlon']","224928.0"
"srx.enpet","pr5.thlon","10100.0","0.0","none","0.0"
"er12.enslo","pr5.hobir","10000.0","152035.0","['Seg_enhmi-enslo', 'Seg_enlba-enshf', 'Seg_enlea-enbtr', 'Seg_enntg-enlea', 'Seg_enshf-enntg', 'Si_enshf']","313922.5"
"cx.mcdn.enbgk","ar11-cdn.enbgk","1.0","17890.0","['ar11-cdn.hobir', 'cx.mcdn.hobir']","40561.0"
"srx.enspc","pr2.enlba","10390.0","0.0","none","0.0"
"srx.enspc","pr5.hobir","10240.0","0.0","none","0.0"
"ar11-cdn.enlba","cx.aanp.enlba","1.0","0.0","none","0.0"
"ar11-cdn.enbgk","cx.goog.enbgk","1.0","0.0","none","0.0"
"pr2.bllon","srx.eneve","10150.0","5119.0","['pr5.hobir']","14385.0"
"pr2.enlba","srx.enyrk","10040.0","82849.0","none","0.0"
"pr2.thlon","pr2.bllon","1010.0","0.0","['pr5.thlon']","56010.0"
"pr5.enlba","er12.thlon","10000.0","0.0","none","0.0"
"pr5.enlba","srx.enips","10289.0","29364.0","['pr2.thlon']","147610.0"
"ar11-cdn.enbgk","pr5.thlon","100000.0","88900.0","['ar11-cdn.bllon']","132745.0"
"pr2.bllon","ar11-cdn.enlcs","100000.0","0.0","none","0.0"
"pr2.bllon","pr5.bllon","400.0","21550.0","['pr2.thlon']","296022.0"
"er14.bllon","pr5.bllon","10000.0","0.0","none","0.0"
"srx.sycwr","pr5.thlon","10200.0","0.0","none","0.0"
"ar11-cdn.enlba","cx.mcdn.enlba","1.0","0.0","none","0.0"
"pr5.thlon","pr5.enlba","1230.0","0.0","['Si_sabir']","242947.5"
"pr2.thlon","pr2.enlba","1230.0","0.0","['Si_sabir']","233047.5"
"cx.goog.enbgk","ar11-cdn.enbgk","1.0","33790.0","['ar11-cdn.hobir', 'cx.goog.hobir']","48839.0"
"pr2.enlba","srx.enwhv","11000.0","0.0","['pr5.hobir']","35165.0"
"cx.bbc.bllon","ar11-cdn.bllon","1.0","0.0","none","0.0"
"er12.thlon","px1.tt.thlon","1.0","0.0","none","0.0"
"sr10.enbel","pr5.thlon","10800.0","0.0","none","0.0"
"srx.ensts","pr2.hobir","10070.0","0.0","none","0.0"
"px.aanp.thlon","er12.thlon","1.0","278847.0","['er12.enslo', 'px.aanp.enslo']","343973.0"
"pr2.bllon","ar11-cdn.bllon","100000.0","0.0","none","0.0"
"cx.ntf.thlon","ar14-cdn.thlon","1.0","85840.0","['ar11-cdn.hobir', 'cx.ntf.hobir']","107906.0"
"er12.enslo","pr5.thlon","10000.0","167793.0","['Si_sabir']","437010.5"
"er14.thlon","pr2.thlon","10000.0","0.0","none","0.0"
"pr5.enlba","ar11-cdn.encax","100000.0","0.0","none","0.0"
"pr5.hobir","srx.enyrk","10590.0","0.0","['pr2.enlba']","82849.0"
"pr2.hobir","srx.endnd","10800.0","6680.0","['pr5.enlba']","35544.0"
"pr5.bllon","srx.syost","10060.0","107993.0","['pr2.thlon']","226843.0"
"pr5.enlba","srx.englw","10260.0","138432.0","[['pr2.hobir'], ['Seg_enhmi-th_w140', 'Seg_hobir-sabir', 'Seg_th_w140-th_e61', 'Si_sabir']]","185253.0"
"er12.thlon","px1.bbc.thlon","1.0","0.0","none","0.0"
"pr2.enlba","er13.thlon","10000.0","0.0","none","0.0"
"srx.englo","pr2.hobir","10100.0","0.0","none","0.0"
"er12.thlon","px1.goog.thlon","1.0","0.0","none","0.0"
"pr2.hobir","srx.enram","10550.0","57874.0","['pr5.bllon']","89378.0"
"px.msft.enslo","er12.enslo","1.0","142775.0","none","0.0"
"srx.enhmi","pr2.bllon","10040.0","0.0","none","0.0"
"pr2.hobir","srx.encnk","10032.0","38921.0","['pr5.enlba']","73869.0"
"ar11-cdn.encax","cx.goog.encax","1.0","0.0","none","0.0"
"er13.thlon","px2.vlv.thlon","1.0","0.0","none","0.0"
"er14.bllon","pr2.bllon","10000.0","0.0","none","0.0"
"px.voda.thlon","er13.thlon","1.0","0.0","none","0.0"
"pr2.hobir","srx.enalw","11000.0","0.0","['pr5.enlba']","27323.0"
"ar11-cdn.bllon","cx.vlcx.bllon","1.0","0.0","none","0.0"
"er12.thlon","pr5.thlon","10000.0","461351.0","['Si_th_e61']","709187.0"
