"cx.aanp.bllon","ar11-cdn.bllon","56980"
"pr2.bllon","ar11-cdn.bllon","105160"
"srx.bllon","pr2.bllon","179431"
"pr5.bllon","ar11-cdn.bllon","252760"
"pr5.thlon","pr5.bllon","71120"
"srx.enbas","pr5.thlon","130665"
"srx.enbgk","pr5.bllon","91062"
"srx.enboh","pr2.bllon","113358"
"srx.ndwma","pr5.bllon","195790"
"cx.aanp.enbgk","ar11-cdn.enbgk","25660"
"pr5.bllon","ar11-cdn.enbgk","194390"
"srx.endvz","pr5.bllon","12436"
"srx.englo","pr5.bllon","7940"
"pr5.bllon","pr2.bllon","73880"
"srx.ennby","pr2.bllon","18717"
"srx.enrdn","pr5.bllon","53010"
"srx.enslo","pr5.bllon","21350"
"srx.enwkg","pr5.bllon","75811"
"srx.txlon","pr5.bllon","7126"
"cx.aanp.encax","ar11-cdn.encax","20690"
"pr5.hobir","ar11-cdn.encax","87710"
"pr5.hobir","pr2.hobir","37070"
"srx.enbkh","pr2.hobir","71890"
"srx.eneve","pr5.hobir","10620"
"srx.enmik","pr2.hobir","24770"
"cx.aanp.enlba","ar11-cdn.enlba","59300"
"pr5.enlba","ar11-cdn.enlba","215610"
"srx.enabd","pr5.enlba","64124"
"srx.endnd","pr5.enlba","19939"
"srx.englw","pr5.enlba","136253"
"srx.enkmk","pr5.enlba","36560"
"pr2.enlba","ar11-cdn.enlba","185420"
"srx.enlba","pr2.enlba","113581"
"srx.enmid","pr5.enlba","36720"
"srx.ennrw","pr5.enlba","29161"
"srx.enntg","pr2.enlba","94089"
"srx.ennth","pr2.enlba","17068"
"srx.enyrk","pr2.enlba","60687"
"cx.aanp.enlcs","ar11-cdn.enlcs","12360"
"pr2.bllon","ar11-cdn.enlcs","140620"
"srx.fnbsh","pr2.bllon","84661"
"cx.aanp.enyrk","ar11-cdn.enyrk","20860"
"pr2.enlba","ar11-cdn.enyrk","82100"
"pr5.enlba","pr2.enlba","34650"
"srx.enalw","pr5.enlba","23170"
"srx.enncl","pr2.enlba","101504"
"srx.enpet","pr2.enlba","50550"
"cx.aanp.hobir","ar11-cdn.hobir","84010"
"pr5.hobir","ar11-cdn.hobir","171620"
"srx.enbtr","pr5.hobir","26180"
"srx.encax","pr5.hobir","12065"
"pr2.hobir","ar11-cdn.hobir","260080"
"srx.encnk","pr2.hobir","37869"
"srx.encvt","pr2.hobir","54387"
"srx.engta","pr2.hobir","29247"
"srx.eninc","pr5.hobir","180960"
"srx.enlcs","pr5.hobir","156935"
"srx.enlpl","pr2.hobir","106485"
"srx.enram","pr2.hobir","22380"
"srx.enspc","pr5.hobir","48361"
"srx.ensts","pr2.hobir","72413"
"srx.entau","pr2.hobir","101298"
"srx.enwhv","pr5.hobir","30278"
"srx.enwrk","pr2.hobir","42230"
"srx.hobir","pr2.hobir","97876"
"srx.sabir","pr5.hobir","77703"
"cx.aanp.thlon","ar14-cdn.thlon","24370"
"pr2.thlon","ar14-cdn.thlon","89420"
"srx.encmg","pr2.thlon","79822"
"pr5.thlon","ar14-cdn.thlon","27810"
"srx.enexe","pr5.bllon","121140"
"srx.enips","pr2.thlon","65569"
"srx.enply","pr5.bllon","56937"
"srx.enswa","pr5.bllon","15830"
"srx.thlon","pr2.thlon","122046"
"cx.goog.bllon","ar11-cdn.bllon","66090"
"cx.goog.enbgk","ar11-cdn.enbgk","50400"
"cx.goog.encax","ar11-cdn.encax","41790"
"cx.goog.enlba","ar11-cdn.enlba","69920"
"pr5.hobir","pr5.enlba","8240"
"srx.encnk","pr5.enlba","26980"
"srx.enips","pr5.enlba","79798"
"pr2.hobir","pr2.enlba","37270"
"cx.goog.enlcs","ar11-cdn.enlcs","39360"
"cx.goog.enyrk","ar11-cdn.enyrk","39620"
"srx.encmg","pr5.enlba","57840"
"cx.goog.hobir","ar11-cdn.hobir","86170"
"srx.enbrs","pr5.hobir","68859"
"cx.l3.bllon","ar11-cdn.bllon","13790"
"srx.enbrs","pr2.bllon","1070"
"srx.sycwr","pr2.bllon","89357"
"srx.syost","pr5.bllon","23260"
"cx.l3.enlba","ar11-cdn.enlba","20320"
"srx.enedi","pr2.enlba","74099"
"srx.enshf","pr2.enlba","82774"
"srx.mimnc","pr2.enlba","88575"
"srx.pomnc","pr5.enlba","8180"
"cx.l3g.bllon","ar11-cdn.bllon","66440"
"srx.encdf","pr5.bllon","9610"
"srx.enhmi","pr2.bllon","20590"
"pr2.thlon","pr2.bllon","11120"
"cx.l3g.enlba","ar11-cdn.enlba","59090"
"cx.l3g.hobir","ar11-cdn.hobir","53920"
"srx.englo","pr2.hobir","82403"
"srx.ennth","pr5.hobir","3986"
"srx.enswa","pr2.hobir","12701"
"srx.mimnc","pr5.hobir","53808"
